year,count,amenity,area
2013,0.0,restaurant,St_Albans
2014,0.0,restaurant,St_Albans
2015,0.0,restaurant,St_Albans
2016,0.0,restaurant,St_Albans
2017,0.0,restaurant,St_Albans
2018,0.0,restaurant,St_Albans
2019,26.583333333333332,restaurant,St_Albans
2020,46.0,restaurant,St_Albans
2021,54.75,restaurant,St_Albans
2022,61.75,restaurant,St_Albans
2023,62.0,restaurant,St_Albans
2024,65.33333333333333,restaurant,St_Albans
