year,count,amenity,area
2013,1519.6666666666667,cafe,London
2014,1689.3333333333333,cafe,London
2015,1912.4166666666667,cafe,London
2016,2113.75,cafe,London
2017,2351.4166666666665,cafe,London
2018,2575.3333333333335,cafe,London
2019,2818.5833333333335,cafe,London
2020,3025.3333333333335,cafe,London
2021,3158.9166666666665,cafe,London
2022,3317.8333333333335,cafe,London
2023,3645.5,cafe,London
2024,3945.0,cafe,London
