year,count,amenity,area
2013,37.75,car_rental,London
2014,38.5,car_rental,London
2015,40.833333333333336,car_rental,London
2016,41.583333333333336,car_rental,London
2017,45.833333333333336,car_rental,London
2018,54.083333333333336,car_rental,London
2019,61.333333333333336,car_rental,London
2020,70.25,car_rental,London
2021,76.91666666666667,car_rental,London
2022,80.0,car_rental,London
2023,82.66666666666667,car_rental,London
2024,84.83333333333333,car_rental,London
