year,count,amenity,area
2013,28.916666666666668,cafe,Bath
2014,29.833333333333332,cafe,Bath
2015,38.416666666666664,cafe,Bath
2016,60.333333333333336,cafe,Bath
2017,89.83333333333333,cafe,Bath
2018,80.16666666666667,cafe,Bath
2019,83.0,cafe,Bath
2020,79.91666666666667,cafe,Bath
2021,78.16666666666667,cafe,Bath
2022,79.0,cafe,Bath
2023,79.66666666666667,cafe,Bath
2024,80.25,cafe,Bath
