year,count,amenity,area
2013,0.0,car_rental,Bath
2014,0.0,car_rental,Bath
2015,0.0,car_rental,Bath
2016,0.4166666666666667,car_rental,Bath
2017,2.0,car_rental,Bath
2018,2.0,car_rental,Bath
2019,2.0,car_rental,Bath
2020,2.0,car_rental,Bath
2021,2.0,car_rental,Bath
2022,2.0,car_rental,Bath
2023,2.0,car_rental,Bath
2024,1.0833333333333333,car_rental,Bath
